Zeit,Wert
01.07.2024 0:00,57
01.07.2024 1:00,55
01.07.2024 10:00,79
01.07.2024 11:00,66
01.07.2024 12:00,103
01.07.2024 13:00,88
01.07.2024 14:00,96
01.07.2024 15:00,49
01.07.2024 16:00,71
01.07.2024 17:00,86
01.07.2024 18:00,76
01.07.2024 19:00,80
01.07.2024 2:00,56
01.07.2024 20:00,98
01.07.2024 21:00,102
01.07.2024 22:00,88
01.07.2024 23:00,78
01.07.2024 3:00,55
01.07.2024 4:00,54
01.07.2024 5:00,57
01.07.2024 6:00,64
01.07.2024 7:00,52
01.07.2024 8:00,75
01.07.2024 9:00,77
02.07.2024 0:00,73
02.07.2024 1:00,64
02.07.2024 10:00,81
02.07.2024 11:00,99
02.07.2024 12:00,136
02.07.2024 13:00,200
02.07.2024 14:00,195
02.07.2024 15:00,194
02.07.2024 16:00,194
02.07.2024 17:00,214
02.07.2024 18:00,184
02.07.2024 19:00,192
02.07.2024 2:00,62
02.07.2024 20:00,194
02.07.2024 21:00,187
02.07.2024 22:00,183
02.07.2024 23:00,169
02.07.2024 3:00,61
02.07.2024 4:00,61
02.07.2024 5:00,64
02.07.2024 6:00,83
02.07.2024 7:00,73
02.07.2024 8:00,72
02.07.2024 9:00,92
03.07.2024 0:00,157
03.07.2024 1:00,143
03.07.2024 10:00,194
03.07.2024 11:00,180
03.07.2024 12:00,222
03.07.2024 13:00,241
03.07.2024 14:00,245
03.07.2024 15:00,248
03.07.2024 16:00,260
03.07.2024 17:00,266
03.07.2024 18:00,318
03.07.2024 19:00,328
03.07.2024 2:00,140
03.07.2024 20:00,315
03.07.2024 21:00,293
03.07.2024 22:00,276
03.07.2024 23:00,267
03.07.2024 3:00,141
03.07.2024 4:00,135
03.07.2024 5:00,138
03.07.2024 6:00,164
03.07.2024 7:00,145
03.07.2024 8:00,138
03.07.2024 9:00,195
04.07.2024 0:00,271
04.07.2024 1:00,262
04.07.2024 10:00,234
04.07.2024 11:00,276
04.07.2024 12:00,330
04.07.2024 13:00,315
04.07.2024 14:00,356
04.07.2024 15:00,432
04.07.2024 16:00,451
04.07.2024 17:00,470
04.07.2024 18:00,495
04.07.2024 19:00,557
04.07.2024 2:00,265
04.07.2024 20:00,549
04.07.2024 21:00,549
04.07.2024 22:00,556
04.07.2024 23:00,541
04.07.2024 3:00,258
04.07.2024 4:00,241
04.07.2024 5:00,225
04.07.2024 6:00,221
04.07.2024 7:00,226
04.07.2024 8:00,228
04.07.2024 9:00,230
05.07.2024 0:00,509
05.07.2024 1:00,425
05.07.2024 10:00,238
05.07.2024 11:00,196
05.07.2024 12:00,226
05.07.2024 13:00,318
05.07.2024 14:00,339
05.07.2024 15:00,398
05.07.2024 16:00,444
05.07.2024 17:00,508
05.07.2024 18:00,510
05.07.2024 19:00,529
05.07.2024 2:00,342
05.07.2024 20:00,509
05.07.2024 21:00,572
05.07.2024 22:00,522
05.07.2024 23:00,574
05.07.2024 3:00,289
05.07.2024 4:00,253
05.07.2024 5:00,246
05.07.2024 6:00,242
05.07.2024 7:00,228
05.07.2024 8:00,251
05.07.2024 9:00,238
06.07.2024 0:00,481
06.07.2024 1:00,450
06.07.2024 10:00,231
06.07.2024 11:00,242
06.07.2024 12:00,262
06.07.2024 13:00,311
06.07.2024 14:00,373
06.07.2024 15:00,434
06.07.2024 16:00,425
06.07.2024 17:00,470
06.07.2024 18:00,508
06.07.2024 19:00,538
06.07.2024 2:00,368
06.07.2024 20:00,518
06.07.2024 21:00,563
06.07.2024 22:00,557
06.07.2024 23:00,556
06.07.2024 3:00,309
06.07.2024 4:00,281
06.07.2024 5:00,256
06.07.2024 6:00,236
06.07.2024 7:00,222
06.07.2024 8:00,224
06.07.2024 9:00,230
07.07.2024 0:00,482
07.07.2024 1:00,443
07.07.2024 10:00,44
07.07.2024 11:00,34
07.07.2024 12:00,31
07.07.2024 13:00,36
07.07.2024 14:00,17
07.07.2024 15:00,19
07.07.2024 16:00,23
07.07.2024 17:00,29
07.07.2024 18:00,49
07.07.2024 19:00,61
07.07.2024 2:00,301
07.07.2024 20:00,70
07.07.2024 21:00,78
07.07.2024 22:00,78
07.07.2024 23:00,74
07.07.2024 3:00,217
07.07.2024 4:00,171
07.07.2024 5:00,136
07.07.2024 6:00,117
07.07.2024 7:00,94
07.07.2024 8:00,72
07.07.2024 9:00,64
08.07.2024 0:00,68
08.07.2024 1:00,70
08.07.2024 10:00,10
08.07.2024 11:00,3
08.07.2024 12:00,4
08.07.2024 13:00,3
08.07.2024 14:00,17
08.07.2024 15:00,8
08.07.2024 16:00,7
08.07.2024 17:00,16
08.07.2024 18:00,33
08.07.2024 19:00,56
08.07.2024 2:00,63
08.07.2024 20:00,87
08.07.2024 21:00,91
08.07.2024 22:00,91
08.07.2024 23:00,57
08.07.2024 3:00,55
08.07.2024 4:00,58
08.07.2024 5:00,66
08.07.2024 6:00,53
08.07.2024 7:00,41
08.07.2024 8:00,28
08.07.2024 9:00,13
09.07.2024 0:00,52
09.07.2024 1:00,49
09.07.2024 10:00,11
09.07.2024 11:00,28
09.07.2024 12:00,20
09.07.2024 13:00,2
09.07.2024 14:00,3
09.07.2024 15:00,7
09.07.2024 16:00,15
09.07.2024 17:00,30
09.07.2024 18:00,43
09.07.2024 19:00,54
09.07.2024 2:00,48
09.07.2024 20:00,68
09.07.2024 21:00,69
09.07.2024 22:00,74
09.07.2024 23:00,64
09.07.2024 3:00,52
09.07.2024 4:00,53
09.07.2024 5:00,53
09.07.2024 6:00,47
09.07.2024 7:00,41
09.07.2024 8:00,18
09.07.2024 9:00,11
10.07.2024 0:00,61
10.07.2024 1:00,57
10.07.2024 10:00,34
10.07.2024 11:00,85
10.07.2024 12:00,85
10.07.2024 13:00,69
10.07.2024 14:00,80
10.07.2024 15:00,96
10.07.2024 16:00,110
10.07.2024 17:00,136
10.07.2024 18:00,165
10.07.2024 19:00,156
10.07.2024 2:00,56
10.07.2024 20:00,151
10.07.2024 21:00,156
10.07.2024 22:00,164
10.07.2024 23:00,167
10.07.2024 3:00,57
10.07.2024 4:00,56
10.07.2024 5:00,55
10.07.2024 6:00,52
10.07.2024 7:00,43
10.07.2024 8:00,36
10.07.2024 9:00,43
11.07.2024 0:00,162
11.07.2024 1:00,159
11.07.2024 10:00,118
11.07.2024 11:00,112
11.07.2024 12:00,103
11.07.2024 13:00,131
11.07.2024 14:00,158
11.07.2024 15:00,176
11.07.2024 16:00,226
11.07.2024 17:00,256
11.07.2024 18:00,272
11.07.2024 19:00,306
11.07.2024 2:00,153
11.07.2024 20:00,331
11.07.2024 21:00,347
11.07.2024 22:00,371
11.07.2024 23:00,353
11.07.2024 3:00,153
11.07.2024 4:00,152
11.07.2024 5:00,149
11.07.2024 6:00,139
11.07.2024 7:00,134
11.07.2024 8:00,115
11.07.2024 9:00,125
12.07.2024 0:00,361
12.07.2024 1:00,363
12.07.2024 10:00,145
12.07.2024 11:00,156
12.07.2024 12:00,176
12.07.2024 13:00,179
12.07.2024 14:00,133
12.07.2024 15:00,136
12.07.2024 16:00,189
12.07.2024 17:00,258
12.07.2024 18:00,281
12.07.2024 19:00,281
12.07.2024 2:00,344
12.07.2024 20:00,337
12.07.2024 21:00,360
12.07.2024 22:00,393
12.07.2024 23:00,374
12.07.2024 3:00,318
12.07.2024 4:00,253
12.07.2024 5:00,181
12.07.2024 6:00,168
12.07.2024 7:00,153
12.07.2024 8:00,139
12.07.2024 9:00,134
13.07.2024 0:00,438
13.07.2024 1:00,395
13.07.2024 10:00,136
13.07.2024 11:00,137
13.07.2024 12:00,136
13.07.2024 13:00,125
13.07.2024 14:00,139
13.07.2024 15:00,137
13.07.2024 16:00,187
13.07.2024 17:00,220
13.07.2024 18:00,269
13.07.2024 19:00,316
13.07.2024 2:00,398
13.07.2024 20:00,362
13.07.2024 21:00,404
13.07.2024 22:00,404
13.07.2024 23:00,405
13.07.2024 3:00,343
13.07.2024 4:00,302
13.07.2024 5:00,181
13.07.2024 6:00,169
13.07.2024 7:00,164
13.07.2024 8:00,144
13.07.2024 9:00,145
14.07.2024 0:00,414
14.07.2024 1:00,383
14.07.2024 10:00,66
14.07.2024 2:00,380
14.07.2024 3:00,323
14.07.2024 4:00,310
14.07.2024 5:00,193
14.07.2024 6:00,154
14.07.2024 7:00,121
14.07.2024 8:00,97
14.07.2024 9:00,100
19.06.2024 13:00,39
19.06.2024 14:00,61
19.06.2024 15:00,62
19.06.2024 16:00,77
19.06.2024 17:00,82
19.06.2024 18:00,79
19.06.2024 19:00,83
19.06.2024 20:00,90
19.06.2024 21:00,79
19.06.2024 22:00,77
19.06.2024 23:00,69
20.06.2024 0:00,65
20.06.2024 1:00,58
20.06.2024 10:00,148
20.06.2024 11:00,126
20.06.2024 12:00,152
20.06.2024 13:00,169
20.06.2024 14:00,197
20.06.2024 15:00,233
20.06.2024 16:00,222
20.06.2024 17:00,233
20.06.2024 18:00,261
20.06.2024 19:00,271
20.06.2024 2:00,54
20.06.2024 20:00,282
20.06.2024 21:00,317
20.06.2024 22:00,308
20.06.2024 23:00,272
20.06.2024 3:00,53
20.06.2024 4:00,52
20.06.2024 5:00,52
20.06.2024 6:00,69
20.06.2024 7:00,73
20.06.2024 8:00,69
20.06.2024 9:00,70
21.06.2024 0:00,254
21.06.2024 1:00,238
21.06.2024 10:00,226
21.06.2024 11:00,243
21.06.2024 12:00,292
21.06.2024 13:00,332
21.06.2024 14:00,398
21.06.2024 15:00,369
21.06.2024 16:00,307
21.06.2024 17:00,117
21.06.2024 18:00,475
21.06.2024 19:00,473
21.06.2024 2:00,226
21.06.2024 20:00,476
21.06.2024 21:00,453
21.06.2024 22:00,496
21.06.2024 23:00,443
21.06.2024 3:00,225
21.06.2024 4:00,211
21.06.2024 5:00,209
21.06.2024 6:00,207
21.06.2024 7:00,214
21.06.2024 8:00,213
21.06.2024 9:00,225
22.06.2024 0:00,393
22.06.2024 1:00,316
22.06.2024 10:00,191
22.06.2024 11:00,218
22.06.2024 12:00,257
22.06.2024 13:00,261
22.06.2024 14:00,296
22.06.2024 15:00,350
22.06.2024 16:00,403
22.06.2024 17:00,404
22.06.2024 18:00,414
22.06.2024 19:00,454
22.06.2024 2:00,235
22.06.2024 20:00,467
22.06.2024 21:00,453
22.06.2024 22:00,458
22.06.2024 23:00,403
22.06.2024 3:00,221
22.06.2024 4:00,216
22.06.2024 5:00,214
22.06.2024 6:00,202
22.06.2024 7:00,199
22.06.2024 8:00,196
22.06.2024 9:00,181
23.06.2024 0:00,380
23.06.2024 1:00,307
23.06.2024 10:00,203
23.06.2024 11:00,240
23.06.2024 12:00,300
23.06.2024 13:00,304
23.06.2024 14:00,367
23.06.2024 15:00,420
23.06.2024 16:00,396
23.06.2024 17:00,416
23.06.2024 18:00,422
23.06.2024 19:00,466
23.06.2024 2:00,231
23.06.2024 20:00,472
23.06.2024 21:00,426
23.06.2024 22:00,451
23.06.2024 23:00,356
23.06.2024 3:00,215
23.06.2024 4:00,205
23.06.2024 5:00,200
23.06.2024 6:00,191
23.06.2024 7:00,188
23.06.2024 8:00,194
23.06.2024 9:00,192
24.06.2024 0:00,290
24.06.2024 1:00,211
24.06.2024 10:00,40
24.06.2024 11:00,14
24.06.2024 12:00,4
24.06.2024 13:00,4
24.06.2024 14:00,6
24.06.2024 15:00,27
24.06.2024 16:00,29
24.06.2024 17:00,49
24.06.2024 18:00,59
24.06.2024 19:00,70
24.06.2024 2:00,163
24.06.2024 20:00,76
24.06.2024 21:00,75
24.06.2024 22:00,63
24.06.2024 23:00,63
24.06.2024 3:00,144
24.06.2024 4:00,138
24.06.2024 5:00,135
24.06.2024 6:00,119
24.06.2024 7:00,107
24.06.2024 8:00,87
24.06.2024 9:00,58
25.06.2024 0:00,60
25.06.2024 1:00,58
25.06.2024 10:00,34
25.06.2024 11:00,20
25.06.2024 12:00,18
25.06.2024 13:00,17
25.06.2024 14:00,7
25.06.2024 15:00,9
25.06.2024 16:00,19
25.06.2024 17:00,32
25.06.2024 18:00,46
25.06.2024 19:00,56
25.06.2024 2:00,58
25.06.2024 20:00,68
25.06.2024 21:00,65
25.06.2024 22:00,64
25.06.2024 23:00,58
25.06.2024 3:00,59
25.06.2024 4:00,58
25.06.2024 5:00,55
25.06.2024 6:00,48
25.06.2024 7:00,46
25.06.2024 8:00,27
25.06.2024 9:00,14
26.06.2024 0:00,56
26.06.2024 1:00,55
26.06.2024 10:00,14
26.06.2024 11:00,11
26.06.2024 12:00,18
26.06.2024 13:00,28
26.06.2024 14:00,28
26.06.2024 15:00,23
26.06.2024 16:00,39
26.06.2024 17:00,46
26.06.2024 18:00,55
26.06.2024 19:00,73
26.06.2024 2:00,55
26.06.2024 20:00,73
26.06.2024 21:00,67
26.06.2024 22:00,67
26.06.2024 23:00,67
26.06.2024 3:00,54
26.06.2024 4:00,54
26.06.2024 5:00,54
26.06.2024 6:00,50
26.06.2024 7:00,39
26.06.2024 8:00,26
26.06.2024 9:00,21
27.06.2024 0:00,65
27.06.2024 1:00,64
27.06.2024 10:00,33
27.06.2024 11:00,20
27.06.2024 12:00,31
27.06.2024 13:00,46
27.06.2024 14:00,49
27.06.2024 15:00,30
27.06.2024 16:00,24
27.06.2024 17:00,42
27.06.2024 18:00,63
27.06.2024 19:00,81
27.06.2024 2:00,63
27.06.2024 20:00,78
27.06.2024 21:00,69
27.06.2024 22:00,72
27.06.2024 23:00,60
27.06.2024 3:00,61
27.06.2024 4:00,62
27.06.2024 5:00,59
27.06.2024 6:00,52
27.06.2024 7:00,48
27.06.2024 8:00,27
27.06.2024 9:00,17
28.06.2024 0:00,54
28.06.2024 1:00,52
28.06.2024 10:00,41
28.06.2024 11:00,22
28.06.2024 12:00,35
28.06.2024 13:00,11
28.06.2024 14:00,13
28.06.2024 15:00,16
28.06.2024 16:00,12
28.06.2024 17:00,36
28.06.2024 18:00,42
28.06.2024 19:00,57
28.06.2024 2:00,60
28.06.2024 20:00,77
28.06.2024 21:00,65
28.06.2024 22:00,66
28.06.2024 23:00,60
28.06.2024 3:00,83
28.06.2024 4:00,83
28.06.2024 5:00,82
28.06.2024 6:00,65
28.06.2024 7:00,53
28.06.2024 8:00,44
28.06.2024 9:00,31
29.06.2024 0:00,60
29.06.2024 1:00,57
29.06.2024 10:00,19
29.06.2024 11:00,11
29.06.2024 12:00,3
29.06.2024 13:00,38
29.06.2024 14:00,24
29.06.2024 15:00,22
29.06.2024 16:00,48
29.06.2024 17:00,32
29.06.2024 18:00,42
29.06.2024 19:00,48
29.06.2024 2:00,56
29.06.2024 20:00,62
29.06.2024 21:00,73
29.06.2024 22:00,70
29.06.2024 23:00,71
29.06.2024 3:00,56
29.06.2024 4:00,56
29.06.2024 5:00,54
29.06.2024 6:00,52
29.06.2024 7:00,49
29.06.2024 8:00,24
29.06.2024 9:00,19
30.06.2024 0:00,65
30.06.2024 1:00,69
30.06.2024 10:00,59
30.06.2024 11:00,63
30.06.2024 12:00,37
30.06.2024 13:00,62
30.06.2024 14:00,72
30.06.2024 15:00,64
30.06.2024 16:00,70
30.06.2024 17:00,78
30.06.2024 18:00,66
30.06.2024 19:00,82
30.06.2024 2:00,69
30.06.2024 20:00,80
30.06.2024 21:00,73
30.06.2024 22:00,66
30.06.2024 23:00,64
30.06.2024 3:00,69
30.06.2024 4:00,65
30.06.2024 5:00,71
30.06.2024 6:00,78
30.06.2024 7:00,87
30.06.2024 8:00,78
30.06.2024 9:00,73